country,dwellings,housing_expenditure,rooms_per_person,Household net adjusted disposable income,household_net_financial_wealth,Employment rate,Job security,Long-term unemployment rate,personal_earnings,quality_of_support_network,Educational attainment,student_skills,Years in education,air_pollution,Water quality,consultation_on_rule_making,Voter turnout,life_expectancy,Self-reported health,life_satisfaction,assault_rate,Homicide rate,employees_working_very_long_hours,Time devoted to leisure and personal care
Australia,1.2,19,2.3,28884,32178,73,12.4,0.96,43908,94,73,519,18.5,14,91,10.5,93,82,85,7.2,2.1,1,14.13,14.41
Austria,1.2,21,1.7,28852,47458,72,9.5,1.07,43688,94,82,487,16.9,27,96,7.1,82,81.1,69,7.4,3,0.6,8.76,14.46
Belgium,1.4,20,2.2,26874,74007,62,7.4,3.45,44321,92,70,509,18.7,21,80,4.5,89,80.5,73,6.9,6.7,1.7,4.43,15.71
Canada,0.2,22,2.6,28194,63852,72,11.3,1,42253,94,88,527,17,16,89,10.5,61,81,88,7.4,1.3,1.6,3.91,14.25
Chile,9.4,18,1.3,11039,16972,61,10.5,2.94,15820,82,71,439,16.2,53,77,2,88,78.3,59,6.5,8.3,3.7,16.32,13.66
Czech Republic,0.7,25,1.4,16957,14749,66,6.7,2.8,19312,89,92,490,17.8,17,84,6.8,63,78,59,6.3,3,1.7,7.58,14.34
Denmark,0.6,24,1.9,24682,36184,73,12.9,1.85,45802,94,76,499,18.8,16,94,7,88,79.9,70,7.5,3.9,0.9,1.97,16.06
Estonia,9.6,19,1.6,12800,8802,65,10.7,7.06,17323,86,89,514,17.4,9,75,3.3,64,76.3,51,5.4,5.5,5.2,4.1,14.2
Finland,0.7,22,1.9,25739,22335,69,14.5,1.75,36468,92,83,543,19.6,15,92,9,69,80.6,69,7.4,2.4,2.2,3.89,14.89
France,0.6,21,1.8,28310,46520,64,9.3,3.83,37505,93,71,497,16.4,12,81,3.5,80,82.2,67,6.6,5,1.1,8.96,15.33
Germany,0.9,21,1.8,28799,44938,73,8.3,2.84,39593,92,86,510,17.9,16,93,4.5,71,80.8,64,6.7,3.6,0.8,5.41,15.31
Greece,0.9,27,1.2,20440,13428,56,4.7,8.75,28011,81,65,473,18.5,31,69,6.5,62,80.7,76,5.1,3.7,1.5,5.23,14.65
Hungary,4.7,20,1,13858,12390,56,7.8,5.36,19437,90,81,496,17.5,15,76,7.9,47,75,55,4.7,3.6,1.3,3.1,14.9
Iceland,0.4,21,1.6,21201,31182,79,10.8,1.97,37290,98,67,501,19.4,16,97,5.1,85,82.4,77,7.6,2.7,0.3,13.45,14.06
Ireland,0.2,18,2.1,24104,27378,60,6.9,8.52,50109,96,73,497,17.9,12,84,9,70,80.6,83,7,2.6,1.2,3.94,15.18
Israel,3.8,21,1.1,19120,49240,61,10.5,1.13,28629,89,82,459,15.8,23,66,2.5,65,81.8,82,7.1,6.5,2.1,17.58,13.81
Italy,0.4,22,1.4,24216,55255,57,6.9,4.36,33947,86,55,486,17.1,21,71,5,81,82.7,64,5.8,4.7,0.9,4.07,14.89
Japan,6.4,22,1.8,24147,74966,70,10.5,1.78,35143,90,92,529,18.7,25,86,7.3,69,82.7,30,6,1.4,0.4,31.7,13.96
Korea,4.2,16,1.4,17337,26036,64,24.3,0.01,35406,77,80,541,17.7,33,78,10.4,76,81.1,37,6,2.1,2.6,27.66,14.63
Luxembourg,0.1,23,1.9,35517,66917,65,5.4,1.41,52847,91,78,482,14.9,13,87,6,91,81.1,72,7,4.3,2.5,2.62,15.05
Mexico,4.2,18,1,12732,9946,60,21.4,0.11,9885,76,36,420,14.9,33,78,9,63,74.2,66,7.3,13.1,23.7,28.63,12.66
Netherlands,0,20,2,25493,66869,75,8.8,1.49,44321,94,73,519,17.8,30,90,6.1,75,81.3,76,7.5,4.9,1.1,0.66,15.66
New Zealand,0.2,26,2.3,21892,33421,73,10.5,0.59,30420,93,73,524,18.2,12,88,10.3,74,81.2,89,7.2,2.2,0.9,13.02,14.87
Norway,0.3,18,2,31459,6905,75,7.9,0.38,43990,93,81,500,17.9,15,96,8.1,76,81.4,73,7.7,3.3,0.6,2.83,15.56
Poland,4,24,1,15371,9222,60,8.1,3.05,19806,91,89,501,18.2,34,79,10.8,55,76.9,57,5.9,1.8,1.1,7.24,14.2
Portugal,1.2,17,1.6,19366,28408,64,8.7,6.14,24384,85,32,490,18,20,86,6.5,58,80.8,49,5,5.8,1.2,8.5,14.71
Slovak Republic,1.4,25,1.2,16682,7798,59,5,8.65,19335,89,91,488,16.4,12,81,6.6,59,76.1,62,5.9,3,1.5,6.38,14.78
Slovenia,0.5,20,1.4,19119,18065,64,7.7,3.61,32480,92,83,499,18.4,26,87,10.3,66,80.1,60,6.1,3.9,0.7,5.55,14.62
Spain,0,20,1.8,22847,21636,58,10.9,8.99,34769,93,53,484,17.3,25,79,7.3,69,82.4,75,6.3,4.2,0.8,6.34,15.85
Sweden,0,21,1.7,26242,44889,74,13.9,1.29,37094,92,87,496,19.2,10,95,10.9,85,81.9,80,7.6,5.1,1,1.23,15.11
Switzerland,0.1,23,1.8,30060,99209,79,8.4,1.57,50323,94,86,517,17.2,22,95,8.4,49,82.8,81,7.8,4.2,0.7,5.87,14.78
Turkey,12.7,21,0.9,13044,10524,48,25.8,2.59,19032,73,31,455,15.2,37,61,5.5,88,74.6,67,5.3,5.1,3.3,46.13,11.73
United Kingdom,0.1,22,1.8,26904,62965,70,6.8,2.62,44743,95,75,500,16.6,13,97,11.5,66,81.1,77,6.8,1.9,1.2,12.06,14.83
